2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-22 13:07:16,755 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-22 13:09:41,269 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-22 13:09:41,269 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-22 13:09:45,917 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-22 13:09:45,918 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-22 13:09:45,918 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-22 13:09:45,918 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-22 13:09:45,918 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-22 13:09:45,918 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-22 13:09:45,918 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-22 13:09:54,964 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-22 13:11:57,137 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-22 13:11:57,137 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-22 15:19:42,280 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-22 15:27:55,434 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
